 ,Area,Mean,Min,Max,X,Y
1,0.000,255,255,255,15.528,12.917
2,0.000,255,255,255,15.417,12.889
3,0.000,255,255,255,15.611,12.639
4,0.000,255,255,255,6.167,8.917
5,0.000,254,254,254,7.722,8.167
6,0.000,253,253,253,4.500,8.472
7,0.000,252,252,252,6.306,9.500
8,0.000,251,251,251,8.611,7.472
9,0.000,251,251,251,4.917,4.556
10,0.000,249,249,249,3.167,6.778
11,0.000,248,248,248,4.139,7.361
12,0.000,248,248,248,5.000,6.583
13,0.000,247,247,247,11.111,11.028
14,0.000,246,246,246,15.361,13.222
15,0.000,246,246,246,4.444,12.111
16,0.000,246,246,246,3.611,5.889
17,0.000,244,244,244,3.389,11.667
18,0.000,244,244,244,2.333,10.417
19,0.000,244,244,244,9.722,9.528
20,0.000,244,244,244,1.889,7.500
21,0.000,243,243,243,3.083,10.500
22,0.000,171,171,171,3.282,9.875
23,0.000,242,242,242,2.444,7.472
24,0.000,242,242,242,9.111,7.083
25,0.000,241,241,241,7.028,13.361
26,0.000,241,241,241,5.694,7.417
27,0.000,241,241,241,8.750,6.500
28,0.000,239,239,239,2.139,8.972
29,0.000,238,238,238,4.750,11.333
30,0.000,238,238,238,6.250,11.167
31,0.000,237,237,237,5.083,7.889
32,0.000,171,171,171,6.153,10.208
33,0.000,234,234,234,3.694,9.417
34,0.000,234,234,234,9.056,9.306
35,0.000,233,233,233,7.306,14.333
36,0.000,176,176,176,5.301,4.060
37,0.000,232,232,232,9.333,9.417
38,0.000,232,232,232,9.222,3.917
39,0.000,232,232,232,6.861,2.556
40,0.000,231,231,231,8.528,14.583
41,0.000,231,231,231,9.028,13.111
42,0.000,231,231,231,5.889,10.750
43,0.000,231,231,231,6.167,6.611
44,0.000,228,228,228,7.333,8.806
45,0.000,226,226,226,5.167,12.500
46,0.000,226,226,226,1.361,8.639
47,0.000,226,226,226,8.167,3.222
48,0.000,224,224,224,2.417,8.000
49,0.000,223,223,223,7.389,6.361
50,0.000,223,223,223,2.611,5.861
51,0.000,100,100,100,5.764,5.116
52,0.000,222,222,222,4.667,4.111
53,0.000,79,79,79,5.394,3.134
54,0.000,221,221,221,7.861,12.722
55,0.000,221,221,221,9.972,10.806
56,0.000,221,221,221,6.778,10.250
57,0.000,221,221,221,8.222,9.194
58,0.000,221,221,221,6.806,7.611
59,0.000,218,218,218,3.500,3.750
60,0.000,218,218,218,3.917,3.611
61,0.000,217,217,217,9.667,11.694
62,0.000,216,216,216,8.472,5.778
63,0.000,216,216,216,6.500,4.000
64,0.000,214,214,214,12.361,13.056
65,0.000,214,214,214,11.889,10.972
66,0.000,214,214,214,3.722,8.472
67,0.000,214,214,214,7.333,4.444
68,0.000,213,213,213,4.889,10.778
69,0.000,212,212,212,6.444,8.083
70,0.000,212,212,212,6.361,5.528
71,0.000,211,211,211,4.389,10.833
72,0.000,211,211,211,9.000,5.722
73,0.000,210,210,210,6.056,12.944
74,0.000,210,210,210,11.500,12.444
75,0.000,208,208,208,4.389,9.944
76,0.000,208,208,208,2.167,6.917
77,0.000,208,208,208,6.417,6.194
78,0.000,207,207,207,11.139,5.833
79,0.000,206,206,206,8.278,3.611
80,0.000,205,205,205,4.472,9.194
81,0.000,205,205,205,3.639,9.056
82,0.000,203,203,203,8.917,13.806
83,0.000,203,203,203,8.361,13.472
84,0.000,203,203,203,3.333,8.750
85,0.000,202,202,202,10.722,10.472
86,0.000,202,202,202,7.750,10.111
87,0.000,202,202,202,7.111,8.361
88,0.000,202,202,202,2.889,6.167
89,0.000,201,201,201,2.750,11.056
90,0.000,201,201,201,7.167,9.611
91,0.000,201,201,201,6.944,6.806
92,0.000,200,200,200,4.889,13.444
93,0.000,200,200,200,6.806,10.778
94,0.000,200,200,200,10.250,9.556
95,0.000,200,200,200,14.194,8.056
96,0.000,200,200,200,6.750,3.389
97,0.000,198,198,198,11.083,11.889
98,0.000,198,198,198,1.833,9.278
99,0.000,198,198,198,11.639,5.917
100,0.000,196,196,196,3.083,5.250
101,0.000,195,195,195,4.778,6.111
102,0.000,195,195,195,7.000,5.278
103,0.000,193,193,193,7.528,10.861
104,0.000,193,193,193,11.306,9.722
105,0.000,193,193,193,14.556,7.028
106,0.000,193,193,193,8.028,6.778
107,0.000,193,193,193,4.417,4.389
108,0.000,50,50,50,8.856,3.394
109,0.000,192,192,192,5.389,12.111
110,0.000,192,192,192,8.861,11.556
111,0.000,192,192,192,9.250,10.056
112,0.000,192,192,192,14.667,9.806
113,0.000,192,192,192,8.111,6.361
114,0.000,192,192,192,3.306,4.611
115,0.000,191,191,191,6.250,13.528
116,0.000,191,191,191,3.139,11.944
117,0.000,191,191,191,13.222,5.583
118,0.000,190,190,190,10.333,5.083
119,0.000,190,190,190,3.667,4.639
120,0.000,188,188,188,5.528,13.306
121,0.000,156,156,156,15.671,7.060
122,0.000,188,188,188,10.444,7.111
123,0.000,188,188,188,7.472,3.889
124,0.000,187,187,187,7.028,2.167
125,0.000,183,183,183,8.889,11.250
126,0.000,183,183,183,9.944,10.278
127,0.000,182,182,182,8.417,10.917
128,0.000,182,182,182,11.028,4.889
129,0.000,181,181,181,1.528,8.083
130,0.000,181,181,181,13.917,6.472
131,0.000,181,181,181,8.000,4.750
132,0.000,180,180,180,10.556,8.389
133,0.000,178,178,178,15.389,11.111
134,0.000,178,178,178,13.306,10.778
135,0.000,114,114,114,12.856,8.801
136,0.000,177,177,177,1.694,6.806
137,0.000,177,177,177,13.500,6.722
138,0.000,177,177,177,4.250,5.194
139,0.000,177,177,177,9.750,4.000
140,0.000,176,176,176,8.889,8.528
141,0.000,21,21,21,12.579,6.505
142,0.000,175,175,175,7.056,12.222
143,0.000,175,175,175,11.694,9.306
144,0.000,175,175,175,2.611,5.167
145,0.000,173,173,173,14.944,5.722
146,0.000,34,34,34,4.764,2.856
147,0.000,172,172,172,14.444,4.389
148,0.000,123,123,123,9.227,4.912
149,0.000,171,171,171,9.500,2.833
150,0.000,170,170,170,8.778,4.528
151,0.000,167,167,167,12.167,4.833
152,0.000,164,164,164,12.333,2.944
153,0.000,54,54,54,4.412,11.690
154,0.000,88,88,88,13.838,5.560
155,0.000,160,160,160,12.500,7.639
156,0.000,160,160,160,11.889,7.167
157,0.000,159,159,159,13.778,10.333
158,0.000,159,159,159,8.500,2.000
159,0.000,157,157,157,3.500,8.028
160,0.000,156,156,156,8.778,10.528
161,0.000,155,155,155,5.333,11.194
162,0.000,155,155,155,13.722,3.194
163,0.000,151,151,151,11.833,3.889
164,0.000,118,118,118,13.653,9.394
165,0.000,144,144,144,10.583,3.583
166,0.000,140,140,140,3.944,11.889
167,0.000,139,139,139,6.333,1.889
168,0.000,137,137,137,9.778,2.222
169,0.000,135,135,135,5.944,3.528
170,0.000,132,132,132,10.167,1.667
171,0.000,113,113,113,13.116,9.616
172,0.000,142,142,142,12.542,10.097
173,0.000,65,65,65,12.838,10.931
174,0.000,82,82,82,12.986,11.671
175,0.000,123,123,123,7.949,0.560
176,0.000,96,96,96,12.690,3.560
177,0.000,80,80,80,12.968,4.468
178,0.000,58,58,58,13.412,4.653
179,0.000,149,149,149,0.968,7.653
180,0.000,125,125,125,2.245,6.301
181,0.000,86,86,86,11.005,9.042
182,0.000,82,82,82,11.153,7.579
183,0.000,111,111,111,7.319,7.819
184,0.000,60,60,60,7.690,9.394
185,0.000,124,124,124,5.505,5.986
186,0.000,121,121,121,11.634,8.486
